,magnus_heunicke,nicolai_wammen,mattias_tesfaye,jakob_ellemann,soren_gade,sophie_lohde,lars_lokke,jakob_engel_schmidt,monika_rubin,jacob_mark,pia_dyhr,kirsten_andersen,dennis_flydtkjær,peter_skaarup,soren_espersen,alex_vanopslagh,henrik_dahl,ole_olesen,soren_pape,mette_abildgaard,rasmus_jarlov,pelle_dragsted,mai_villadsen,rosa_lund,martin_lidegaard,samira_nawa,katrine_robsoe,pernille_vermund,lars_mathiesen,kim_andersen,franciska_rosenkilde,christina_olumeko,torsten_gejl,morten_messerschmidt,pia_kjarsgaard,peter_kofod
magnus_heunicke,1.0,0.10905730129390019,0.1834319526627219,0.15384615384615385,0.03986135181975736,0.1583011583011583,0.14068441064638784,0.1857707509881423,0.26582278481012656,0.16279069767441862,0.11940298507462686,0.1834319526627219,0.14068441064638784,0.1583011583011583,0.1111111111111111,0.15163147792706333,0.19047619047619047,0.10091743119266056,0.1695906432748538,0.14722753346080306,0.08695652173913043,0.1320754716981132,0.1342155009451796,0.10091743119266056,0.1857707509881423,0.18811881188118812,0.0989010989010989,0.14068441064638784,0.16731517509727625,0.09090909090909091,0.12149532710280374,0.0989010989010989,0.12359550561797752,0.13636363636363635,0.11317254174397032,0.12149532710280374
nicolai_wammen,0.10905730129390019,1.0,0.10091743119266056,0.0948905109489051,0.041666666666666664,0.07719928186714542,0.08892921960072596,0.12570356472795496,0.11317254174397032,0.07334525939177101,0.09090909090909091,0.07913669064748201,0.08499095840867993,0.09689213893967093,0.12359550561797752,0.08499095840867993,0.12994350282485875,0.09689213893967093,0.10497237569060773,0.08499095840867993,0.06382978723404255,0.08499095840867993,0.07142857142857142,0.10091743119266056,0.14285714285714285,0.061946902654867256,0.0582010582010582,0.0989010989010989,0.08892921960072596,0.07526881720430108,0.08695652173913043,0.04529616724738676,0.08695652173913043,0.12781954887218044,0.12359550561797752,0.12994350282485875
mattias_tesfaye,0.1834319526627219,0.10091743119266056,1.0,0.14942528735632185,0.061946902654867256,0.1650485436893204,0.12994350282485875,0.2605042016806723,0.2422360248447205,0.12781954887218044,0.10905730129390019,0.15163147792706333,0.15384615384615385,0.2396694214876033,0.20240480961923848,0.16279069767441862,0.19284294234592445,0.1320754716981132,0.17647058823529413,0.14942528735632185,0.09689213893967093,0.1342155009451796,0.1320754716981132,0.13851992409867173,0.18110236220472442,0.2219959266802444,0.08108108108108109,0.15606936416184972,0.1342155009451796,0.12359550561797752,0.10497237569060773,0.0948905109489051,0.16731517509727625,0.21212121212121213,0.22448979591836735,0.21212121212121213
jakob_ellemann,0.15384615384615385,0.0948905109489051,0.14942528735632185,1.0,0.0582010582010582,0.1695906432748538,0.19047619047619047,0.22699386503067484,0.20240480961923848,0.13851992409867173,0.12994350282485875,0.12781954887218044,0.16731517509727625,0.20240480961923848,0.16279069767441862,0.17647058823529413,0.18811881188118812,0.1583011583011583,0.19047619047619047,0.12149532710280374,0.1342155009451796,0.14722753346080306,0.15606936416184972,0.11731843575418995,0.1787819253438114,0.15384615384615385,0.1111111111111111,0.14942528735632185,0.1583011583011583,0.171875,0.06761565836298933,0.07913669064748201,0.12570356472795496,0.12570356472795496,0.19047619047619047,0.1583011583011583
soren_gade,0.03986135181975736,0.041666666666666664,0.061946902654867256,0.0582010582010582,1.0,0.034482758620689655,0.0273972602739726,0.041666666666666664,0.04895104895104895,0.029159519725557463,0.041666666666666664,0.034482758620689655,0.04529616724738676,0.050788091068301226,0.041666666666666664,0.030927835051546393,0.02564102564102564,0.029159519725557463,0.06007067137809187,0.0273972602739726,0.03626943005181347,0.030927835051546393,0.04712041884816754,0.03986135181975736,0.061946902654867256,0.04712041884816754,0.04895104895104895,0.03806228373702422,0.03806228373702422,0.01867572156196944,0.04529616724738676,0.029159519725557463,0.03806228373702422,0.03806228373702422,0.056338028169014086,0.043478260869565216
sophie_lohde,0.1583011583011583,0.07719928186714542,0.1650485436893204,0.1695906432748538,0.034482758620689655,1.0,0.1450381679389313,0.1787819253438114,0.1857707509881423,0.15606936416184972,0.1320754716981132,0.14068441064638784,0.10905730129390019,0.1952191235059761,0.1695906432748538,0.18811881188118812,0.19760479041916168,0.16279069767441862,0.16279069767441862,0.1650485436893204,0.10091743119266056,0.1450381679389313,0.10497237569060773,0.13851992409867173,0.17647058823529413,0.1342155009451796,0.08499095840867993,0.1450381679389313,0.1342155009451796,0.13851992409867173,0.07334525939177101,0.09689213893967093,0.15163147792706333,0.1857707509881423,0.15606936416184972,0.12359550561797752
lars_lokke,0.14068441064638784,0.08892921960072596,0.12994350282485875,0.19047619047619047,0.0273972602739726,0.1450381679389313,1.0,0.21212121212121213,0.17416829745596868,0.13851992409867173,0.1070110701107011,0.12359550561797752,0.1342155009451796,0.14942528735632185,0.14285714285714285,0.16731517509727625,0.19284294234592445,0.1857707509881423,0.13851992409867173,0.14285714285714285,0.0989010989010989,0.11940298507462686,0.11731843575418995,0.13851992409867173,0.13851992409867173,0.15606936416184972,0.08303249097472924,0.11731843575418995,0.12781954887218044,0.10091743119266056,0.06761565836298933,0.12149532710280374,0.12781954887218044,0.12570356472795496,0.12570356472795496,0.12781954887218044
jakob_engel_schmidt,0.1857707509881423,0.12570356472795496,0.2605042016806723,0.22699386503067484,0.041666666666666664,0.1787819253438114,0.21212121212121213,1.0,0.35135135135135137,0.18811881188118812,0.18110236220472442,0.1857707509881423,0.1787819253438114,0.2987012987012987,0.24740124740124741,0.28205128205128205,0.3544018058690745,0.25523012552301255,0.19760479041916168,0.26582278481012656,0.14068441064638784,0.21703853955375255,0.18110236220472442,0.19047619047619047,0.2631578947368421,0.2578616352201258,0.11317254174397032,0.2,0.21951219512195122,0.16054158607350097,0.0948905109489051,0.11940298507462686,0.20967741935483872,0.25260960334029225,0.23711340206185566,0.20240480961923848
monika_rubin,0.26582278481012656,0.11317254174397032,0.2422360248447205,0.20240480961923848,0.04895104895104895,0.1857707509881423,0.17416829745596868,0.35135135135135137,1.0,0.2396694214876033,0.171875,0.2396694214876033,0.171875,0.25523012552301255,0.1834319526627219,0.28205128205128205,0.405152224824356,0.2605042016806723,0.25523012552301255,0.22699386503067484,0.16279069767441862,0.21951219512195122,0.22448979591836735,0.16054158607350097,0.25,0.28205128205128205,0.15384615384615385,0.18811881188118812,0.17647058823529413,0.18110236220472442,0.13636363636363635,0.13636363636363635,0.20481927710843373,0.1834319526627219,0.2,0.1834319526627219
jacob_mark,0.16279069767441862,0.07334525939177101,0.12781954887218044,0.13851992409867173,0.029159519725557463,0.15606936416184972,0.13851992409867173,0.18811881188118812,0.2396694214876033,1.0,0.14068441064638784,0.20240480961923848,0.1450381679389313,0.14722753346080306,0.0989010989010989,0.20240480961923848,0.21951219512195122,0.1857707509881423,0.15384615384615385,0.14942528735632185,0.12994350282485875,0.16731517509727625,0.19047619047619047,0.10294117647058823,0.14068441064638784,0.12994350282485875,0.10497237569060773,0.1342155009451796,0.18110236220472442,0.13636363636363635,0.12781954887218044,0.10497237569060773,0.1650485436893204,0.12570356472795496,0.09289617486338798,0.10497237569060773
